spotify_id;nombre;es_explicito;duracion_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;album_id
5aZ8rf2aPfZrnRWLA7bByo;PaÂ´Que Te Acuerdes | CROSSOVER #8;True;172800;0.801;0.677;9;-4.804;1;0.0522;0.0604;0.0;0.0717;0.52;100.017;4;83
5DSMm0BZXlSvqArsTX00Ge;DOCTOR;False;144148;0.651;0.762;9;-2.969;1;0.0315;0.0834;0.0;0.0701;0.721;90.989;4;84
2N0hVk2Ant8751xPZUjCV2;Loquita - Remix;False;209846;0.724;0.742;7;-5.551;0;0.0593;0.208;0.0;0.283;0.785;90.038;4;85
39Pc4a04VgCtcc7m0XKi9M;TAMBIÃ‰N;True;139546;0.629;0.643;4;-6.908;1;0.205;0.291;0.0;0.106;0.928;119.944;4;86
1db75lVrSgDFZI1gZh8JlV;Princesa;False;166241;0.632;0.942;11;-2.665;1;0.0492;0.192;0.0;0.151;0.944;157.023;4;87
42mrOMjkQb7jRKatu0bqg4;Mil Preguntas;False;166973;0.641;0.907;8;-4.08;1;0.0764;0.241;0.0;0.219;0.827;76.02;4;88
2xbH0CuDbid800YW5nMPzR;SINVERGÃœENZA - con Angela Torres;False;217490;0.764;0.738;0;-4.774;1;0.0336;0.182;0.0;0.173;0.647;93.963;4;89
1MCArCVJUgBUrBnzUoZqmq;Dimelo Mami;False;154806;0.83;0.782;9;-5.238;0;0.0686;0.0589;3.74e-05;0.0957;0.339;100.047;4;90
6ViJgiKfyqfs52x2pGhuPF;DespÃ³jate Vol.2;False;240435;0.67;0.717;1;-6.025;0;0.0435;0.0993;0.0;0.179;0.77;135.059;3;91
4eqXTlaHeK6xkM1fRx9wR5;Conmigo Te GustÃ³;False;72937;0.742;0.61;9;-9.022;1;0.0658;0.311;6.16e-06;0.0455;0.963;84.015;4;92
6VbNzSrjWjTMfrDLJ6Jt5D;La Piel Bien Caliente;False;80000;0.691;0.574;11;-8.7;0;0.0857;0.151;0.000463;0.326;0.884;164.021;4;92
7khla88C1xwKeI6qzwcOuH;No Va a Venir;False;68874;0.628;0.632;10;-8.926;1;0.0443;0.1;0.0;0.698;0.848;84.163;4;92
3KeYEr9ogMBemsOfQIJmZp;Cuando Te Vi | CROSSOVER #5;True;218400;0.81;0.767;6;-3.104;0;0.053;0.162;0.0;0.0957;0.654;99.996;4;93
4jn3R3KF5hx2fCiXlj89yE;FLECHAZO EN EL CENTRO;False;185241;0.753;0.644;5;-6.685;0;0.043;0.132;1.66e-06;0.104;0.457;104.947;4;94
3cWo162YkfLIFyB3DWbVoH;Tu Foto - En Vivo;False;180385;0.561;0.803;11;-5.132;0;0.073;0.146;0.0;0.188;0.338;153.669;4;95
4xXvGEiTkoaIkOMWa4u3Mn;COLOCARTELO;False;176250;0.857;0.701;0;-3.483;0;0.063;0.434;0.0;0.0395;0.812;96.046;4;96
42wdz3j7gstgUuhoFLCXqd;PELIGROSA;True;134930;0.763;0.519;6;-7.426;0;0.0636;0.22;6.42e-06;0.0816;0.804;100.025;4;97
0ZS96pPRLyGUViVi5PWCAR;APAGA EL CEL;True;184806;0.696;0.496;9;-7.532;0;0.0365;0.273;0.000397;0.0626;0.476;100.025;4;97
27bcRgu0wnDteieWlLCxc8;TU TA RICA;True;121200;0.755;0.507;3;-6.76;0;0.0684;0.293;1.82e-05;0.18;0.606;99.994;4;97
2esZG2XFtuoWWA9AfDvSxy;Gata Only;True;222000;0.794;0.5;8;-8.454;0;0.049;0.438;3.00E-05;0.0905;0.659;99.985;4;97
2RmtEc2ZNDCzAU3vH0AbKx;Ojos Verdes;False;142410;0.582;0.834;4;-2.654;1;0.0394;0.224;2.67e-06;0.145;0.95;167.945;4;98
0CgpCtEPvyDizcg2p47VrU;A las Nueve;False;207533;0.625;0.804;4;-5.652;0;0.0268;0.236;8.22e-05;0.308;0.827;129.931;4;99
6MuJUSYCqA4FpMogUHzb2R;Ese Maldito Momento;False;185866;0.643;0.616;11;-6.358;0;0.0266;0.469;5.74e-05;0.0886;0.652;139.931;4;99
2bNCiY24Eh4saMcc23bvUN;ADIÃ“S;True;160856;0.747;0.765;9;-4.184;0;0.0547;0.374;4.66e-06;0.202;0.514;98.012;4;100
2AFC9ad4nGauS1cgm7FCqU;UN SIGLO SIN TI;False;154800;0.635;0.908;10;-5.332;1;0.0909;0.141;0.0;0.112;0.924;74.992;4;101
6CzozhzNVBfxmUthlZiYm4;DUELE;False;145518;0.769;0.453;11;-8.893;1;0.188;0.364;7.94e-06;0.112;0.154;131.991;5;102
3oNnzH6hmqIGIhJ1NcHlrh;CORAZÃ“N VACÃO;False;160535;0.681;0.792;1;-4.795;1;0.0587;0.334;2.05e-06;0.295;0.4;98.09;4;103
7eNwwoxDR8KVzNAuGvliAO;Kyoto;True;247840;0.732;0.753;9;-4.269;0;0.0512;0.235;1.74e-05;0.568;0.405;94.978;4;104
2N9LvPp7o61eerdZEyKQ19;Me Voy;False;131947;0.588;0.683;0;-4.188;1;0.0302;0.285;0.0;0.168;0.653;86.041;4;105
0Cs2ANiGsCOQLKnCrNJ6hA;La_Playlist.mpeg;False;149571;0.753;0.836;5;-2.584;0;0.0568;0.0184;0.0;0.11;0.891;139.949;4;106
6PhRhocBXP4y7NpciGmzra;DespuÃ©s De La 1;True;177600;0.805;0.581;6;-5.091;0;0.0601;0.0303;0.0202;0.0933;0.528;99.973;4;107
0rqH7y08F8C8lcVBI8n2Sq;DÃ©jame Pensar;True;211286;0.757;0.666;7;-4.81;1;0.051;0.106;7.86e-05;0.121;0.516;100.001;4;107
5vHWh24GAsXJ7tnIu8v7UN;Por Mil Noches;False;283884;0.553;0.672;1;-7.489;0;0.0291;0.0169;5.35e-05;0.186;0.286;111.965;4;108
45DB3yqxYGAnKN3YmLWbAX;Running Wild;False;151646;0.487;0.711;8;-4.22;1;0.0322;0.000175;0.0;0.152;0.317;146.921;4;109
6Es8Sk3xe1HiJ2MXCfHHwR;La_Original.mp3;False;140625;0.833;0.809;5;-2.751;0;0.0381;0.0836;0.0;0.112;0.905;128.055;4;110
61qPUnazSdkvua4wgA4L8C;Como Eran Las Cosas;False;240520;0.696;0.445;1;-9.114;1;0.0316;0.463;1.72e-05;0.0918;0.591;94.984;4;111
0iwmZVScrpLcbbfHbdJGT0;Como Eran Las Cosas;False;242520;0.696;0.448;8;-9.099;1;0.0333;0.452;2.43e-05;0.0904;0.569;95.004;4;112
3tiJUOfAEqIrLFRQgGgdoY;Un Finde | CROSSOVER #2;False;162500;0.528;0.659;11;-3.623;1;0.0604;0.0613;0.0;0.219;0.8;192.055;4;113
2wEhjcnre2PU36KQNBLXCC;SE DICE DE MI;True;136000;0.706;0.518;2;-7.559;1;0.231;0.105;0.0;0.502;0.815;180.083;4;114
1R3ubqAHKHE6f64Hz37q8h;Un MontÃ³n de Estrellas - En Vivo Gran Rex;False;165326;0.537;0.793;10;-5.93;1;0.044;0.153;2.07e-05;0.916;0.863;89.398;4;115
5g2Jqe1D2qnZc6LcvWL3e1;Te Vas a Arrepentir;False;110937;0.698;0.461;0;-9.12;1;0.0643;0.444;0.0;0.0614;0.963;92.123;4;116
0T25HZGE0WwyELWBlXQVbY;PONTE PERRO | DJ TAO Turreo Sessions #24;False;149504;0.68;0.581;11;-5.567;1;0.24;0.137;0.0;0.266;0.748;172.218;4;117
1yg1tWFaYajN4b7vsKtYRE;El Doctorado;False;133829;0.714;0.684;10;-6.319;1;0.061;0.631;0.0;0.0738;0.626;77.027;4;118
6hLsMjw00j3HGrkUjKwmgo;A200;True;206659;0.754;0.858;2;-3.908;0;0.043;0.0635;0.0;0.331;0.767;118.473;4;119
5eqZZLLZ4CkuUznPCOimsi;Cosa Linda;True;150000;0.837;0.651;9;-4.318;0;0.071;0.204;0.000272;0.238;0.661;95.944;4;120
