"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"3qhlB30KknSejmIvZZLjOD","End of Beginning","Djo","44","3","6","","2024-11-11","89","False","159245","DECIDE","2022-09-16","0.689","0.454","2","-7.643","1","0.0584","0.0351","0.00259","0.0707","0.912","159.982","4"
"5IZXB5IKAD2qlvTPJYDCFB","I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","45","3","5","","2024-11-11","84","True","178205","F-1 Trillion","2024-08-15","0.644","0.874","0","-4.723","1","0.0265","0.0113","0.0","0.227","0.753","128.017","4"
"2esZG2XFtuoWWA9AfDvSxy","Gata Only","FloyyMenor, Cris Mj","46","4","4","","2024-11-11","77","True","222000","EL COMIENZO","2024-08-09","0.794","0.5","8","-8.454","0","0.049","0.438","3e-05","0.0905","0.659","99.985","4"
"3JG1uFc40wfyrqaWC7iv0e","i like the way you kiss me","Artemas","47","-5","3","","2024-11-11","82","False","142514","yustyna","2024-07-11","0.599","0.946","11","-4.263","1","0.0447","0.000938","0.0106","0.0826","0.747","151.647","4"
"0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","48","2","2","","2024-11-11","81","False","241106","Merry Christmas","1994-10-28","0.336","0.627","7","-7.463","1","0.0384","0.164","0.0","0.0708","0.35","150.273","4"
"6Qyc6fS4DsZjB2mRW9DsQs","Iris","The Goo Goo Dolls","49","-6","1","","2024-11-11","87","False","289533","Dizzy up the Girl","1998-01-01","0.315","0.715","11","-8.072","0","0.0362","0.00125","7.97e-06","0.0942","0.497","155.925","3"
"4xdBrk0nFZaP54vvZj0yx7","HOT TO GO!","Chappell Roan","50","0","0","","2024-11-11","89","False","184841","The Rise and Fall of a Midwest Princess","2023-09-22","0.742","0.757","6","-4.981","1","0.0421","0.0187","0.0","0.305","0.957","139.982","4"
"34eKUydsaj9GeMTT1ybutO","Wishi Wishi (feat. Scotts Maphuma & Young Stunna)","Kabza De Small, Vigro Deep, DJ Maphorisa, Scotts Maphuma, Young Stunna","1","0","0","ZA","2024-11-11","62","False","381428","Wishi Wishi (feat. Scotts Maphuma & Young Stunna)","2024-10-18","0.861","0.622","1","-12.417","1","0.0727","0.0632","7.79e-05","0.253","0.413","112.009","4"
"21fhgH4tjYcAKzkzCuYyr6","Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap)","Blaq Major, BLESS THE GENTLEMAN, DJ KAP","2","0","0","ZA","2024-11-11","62","False","245740","Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap)","2024-08-12","0.937","0.638","6","-6.094","0","0.0424","0.00877","0.0","0.0608","0.753","114.043","4"
"567NwM1L86vGvZwiZfCsMo","Gucci","Mthandeni SK, MaWhoo","3","1","0","ZA","2024-11-11","62","False","247617","Gucci","2024-09-26","0.625","0.927","6","-5.446","0","0.0313","0.0212","0.011","0.304","0.863","146.727","4"
"7MD8gswt08VhFwVF1PR8Mg","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","Mr Pilato, Ego Slimflow, Tebogo G Mashego, SJE Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii","4","30","46","ZA","2024-11-11","39","False","454778","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","2024-11-08","0.848","0.588","9","-10.935","1","0.0532","0.00115","0.00485","0.0523","0.301","113.002","4"
"2ZdiSdC1ElfhEsFanMlpdO","Ndisize","Caiiro, Ami Faku","5","-2","-1","ZA","2024-11-11","61","False","315116","Caiiro","2024-07-05","0.784","0.629","5","-8.35","1","0.0493","0.0061","0.264","0.0918","0.515","117.003","4"
